"cont_mort","cont_prev","country","health"
"1.06050227053896","0.587217264323652","AUT","prevADL"
"2.05325452369813","0.457418253211712","AUT","prevSR"
"1.22450152212378","1.75622072244945","AUT","prevGALI"
"3.46439264697473","0.801766637213131","AUT","prevchr"
"1.17235479762149","1.57103479703199","BEL","prevADL"
"1.55220364660999","0.701541240163181","BEL","prevSR"
"0.993175072861469","1.14008519979538","BEL","prevGALI"
"3.60873363686309","0.442578625207723","BEL","prevchr"
"1.42040564752144","0.129051968272678","BGR","prevADL"
"3.09952550635537","1.53270283596948","BGR","prevSR"
"1.30659749981884","0.30539277083245","BGR","prevGALI"
"4.90529532741807","1.18007092468814","BGR","prevchr"
"0.460029673208622","0.293729592819968","CHE","prevADL"
"1.04423133376459","-0.255217623484459","CHE","prevSR"
"0.492398176121932","-1.42263514151458","CHE","prevGALI"
"2.72395386371776","-3.77676626814034","CHE","prevchr"
"1.23572700410465","0.0522005183486502","CZE","prevADL"
"2.02898950847263","0.383733510788448","CZE","prevSR"
"1.30337564956501","-0.382031706178902","CZE","prevGALI"
"4.46363293696857","-0.662636526142684","CZE","prevchr"
"1.07078326878491","0.523357066746045","DEUTNP","prevADL"
"2.33390278303651","0.880981387507685","DEUTNP","prevSR"
"1.28516617806074","0.806777166402492","DEUTNP","prevGALI"
"3.76648336066148","-0.406823180779011","DEUTNP","prevchr"
"0.715120240349896","-0.385442575384932","DNK","prevADL"
"1.35724002590899","0.927654348938853","DNK","prevSR"
"0.654230977373431","0.728819993928778","DNK","prevGALI"
"2.79608918663627","0.409829008529428","DNK","prevchr"
"1.61327381031136","-1.01727424141708","ESP","prevADL"
"3.09918912152961","2.64284894349588","ESP","prevSR"
"0.863845156069813","1.39984708110964","ESP","prevGALI"
"4.619763439375","-1.36063837239071","ESP","prevchr"
"1.73972565444077","0.309604441699833","EST","prevADL"
"5.95139614856354","-0.227900363302968","EST","prevSR"
"2.87006922894971","-0.409200602495477","EST","prevGALI"
"6.3869633547579","0.562568918486392","EST","prevchr"
"0.83269468273543","0.246000924170747","FIN","prevADL"
"2.77342494120149","-1.28637707573346","FIN","prevSR"
"1.14935146224499","-0.687428941342865","FIN","prevGALI"
"4.25561877067579","-0.332604273197877","FIN","prevchr"
"1.36493496265371","0.0512065677714326","FRATNP","prevADL"
"2.65003622451696","-0.00627596440272526","FRATNP","prevSR"
"1.58308012378782","-0.46555993405555","FRATNP","prevGALI"
"4.585183344027","0.910814479501362","FRATNP","prevchr"
"0.592320530155126","0.838270335340715","GRC","prevADL"
"2.26276194036351","1.94730930660568","GRC","prevSR"
"0.553511242997529","0.708183945208475","GRC","prevGALI"
"3.83646962829023","1.39695387718981","GRC","prevchr"
"1.11816517979787","0.102702579587213","HUN","prevADL"
"4.07244753586903","3.35614806890326","HUN","prevSR"
"1.63735102626863","1.21794767015744","HUN","prevGALI"
"5.2622694545479","3.46111364650931","HUN","prevchr"
"0","0.0328169243978296","ISR","prevADL"
"0","0.159118141326965","ISR","prevSR"
"0","0.0172236327395511","ISR","prevGALI"
"0","0.0490450262080583","ISR","prevchr"
"1.22728500689582","1.47396139630557","ITA","prevADL"
"2.47064481262361","2.82416689029543","ITA","prevSR"
"1.24335306459826","0.810094601202731","ITA","prevGALI"
"3.44057944017727","0.843735509759611","ITA","prevchr"
"1.96748133367728","0.6047051886477","LTU","prevADL"
"5.46167350559166","1.70937244297538","LTU","prevSR"
"1.90802154006383","-0.516971572292473","LTU","prevGALI"
"6.86846098622837","1.73120354350539","LTU","prevchr"
"0.928133946100084","-0.675483145784976","LUX","prevADL"
"1.98106899884506","1.44040841369675","LUX","prevSR"
"1.27803625839865","-0.427732474542909","LUX","prevGALI"
"3.56406173886266","0.155053154136635","LUX","prevchr"
"1.35261561068595","0.978082209753139","LVA","prevADL"
"5.73953675527617","1.95337804648211","LVA","prevSR"
"1.40034205848717","0.146085943413448","LVA","prevGALI"
"6.51990855434969","1.96052458462209","LVA","prevchr"
"1.63808618111721","0.201638335071521","POL","prevADL"
"4.1137254116197","0.457752626451279","POL","prevSR"
"2.18501170469673","0.0906230847454372","POL","prevGALI"
"5.62180654639082","1.3463398278103","POL","prevchr"
"1.55093272793565","2.24163522558592","PRT","prevADL"
"3.28907888565711","4.58627921837842","PRT","prevSR"
"1.46351166535886","1.20572730026298","PRT","prevGALI"
"4.61428357420547","3.46954642487482","PRT","prevchr"
"0.76838887971469","1.08495341338083","SVK","prevADL"
"2.65854202325542","2.2930931232894","SVK","prevSR"
"0.934724707066827","1.64596257957061","SVK","prevGALI"
"4.12949678273831","3.69267989207792","SVK","prevchr"
"1.10099384550364","-0.600888752474226","SVN","prevADL"
"2.91244496178502","-0.211073986819889","SVN","prevSR"
"1.69497711680587","-0.235840410027622","SVN","prevGALI"
"4.46634184373991","0.318669275209185","SVN","prevchr"
"0.561829372277414","0.0627849361240771","SWE","prevADL"
"1.27251629893694","1.35443757974789","SWE","prevSR"
"0.720194518812486","1.10364932369389","SWE","prevGALI"
"2.43722582377668","0.57945632141875","SWE","prevchr"
