"country","ex","HE_ADL","HE_CHR","HE_GALI","HE_SR","UHE_ADL","UHE_CHR","UHE_GALI","UHE_SR"
"AUT",34.8073941609581,30.1906043332745,7.83300871646563,27.4505133465407,21.4686555109526,4.61678982768367,26.9743854444925,7.35688081441744,13.3387386500056
"BEL",34.8083605847924,28.1722378333104,5.9147247893004,28.0576279828724,22.9507475038959,6.63612275148198,28.893635795492,6.75073260192,11.8576130808966
"BGR",30.2116186324393,25.7326705094837,7.52137648889594,25.7905342415056,17.6132306640853,4.4789481229556,22.6902421435433,4.42108439093368,12.598387968354
"CHE",36.1908791433415,33.049452690357,12.680180242419,32.1286671205438,27.7645283409958,3.14142645298452,23.5106989009225,4.06221202279763,8.42635080234566
"CZE",32.8991442175273,28.1873852265969,5.06471467866422,27.2487860603158,22.6511947988088,4.71175899093037,27.8344295388631,5.65035815721154,10.2479494187185
"DEUTNP",34.3552982185127,29.1642297055872,5.58546962976145,26.1508297639245,18.2696559995064,5.19106851292544,28.7698285887512,8.20446845458815,16.0856422190063
"DNK",34.013639076694,30.7040112018271,8.52385958089242,29.4728748961922,23.6477112749813,3.30962787486691,25.4897794958016,4.54076418050183,10.3659278017127
"ESP",36.6571674758393,30.2887373817056,6.57793580577889,32.3788749481234,19.2584309948866,6.36843009413374,30.0792316700604,4.27829252771592,17.3987364809527
"EST",33.5549422553903,28.3805726621409,6.65293249902109,24.0710848209589,9.99698303395494,5.17436959324947,26.9020097563692,9.4838574344314,23.5579592214354
"FIN",35.3041539832258,31.6089953985989,5.08102682864345,30.8880345775535,20.8358393387774,3.69515858462684,30.2231271545823,4.41611940567229,14.4683146444484
"FRATNP",36.5533976509254,31.2430877381095,6.64826784837412,30.1421264161969,22.064479853016,5.31030991281582,29.9051298025512,6.41127123472844,14.4889177979094
"GRC",34.9404824692889,31.8381716611821,8.30058362992796,31.9924734186824,22.565722391866,3.10231080810676,26.6398988393609,2.94800905060649,12.3747600774229
"HUN",30.6415245904569,27.5177513558137,6.06311231845498,24.2021724958809,12.3433110065744,3.12377323464319,24.5784122720019,6.43935209457596,18.2982135838825
"ITA",35.9144692790979,30.4116490708065,9.50413686315123,29.4601234197179,18.3250227932788,5.50282020829143,26.4103324159467,6.45434585937998,17.5894464858191
"LTU",32.1565226166569,26.6825209447497,4.10981892073118,26.7650459875379,11.5314226400766,5.47400167190714,28.0467036959257,5.39147662911892,20.6250999765803
"LUX",35.3361597947853,31.6416372929174,6.16936654218094,27.8907588744397,20.2490189546591,3.69452250186788,29.1667932526044,7.44540092034557,15.0871408401262
"LVA",31.5457944820959,27.3519341961733,5.53676374001365,27.0116953057951,9.91911676449944,4.19386028592262,26.0090307420822,4.53409917630077,21.6266777175965
"POL",32.818597447653,27.310214393945,4.64358833217581,24.5357925435857,15.0845200066257,5.50838305370799,28.1750091154772,8.28280490406731,17.7340774410273
"SVK",31.8759124143535,28.6222596786029,10.3838074805117,27.3828018796299,20.7013539053293,3.25365273575058,21.4921049338418,4.49311053472361,11.1745585090242
"SVN",34.5616590718467,30.805304567696,7.58036471296114,27.0110818358942,20.2932438106912,3.75635450415072,26.9812943588856,7.55057723595253,14.2684152611555
"SWE",35.0797646214371,31.7142099161201,9.69435033302665,28.953638284731,24.0762905462077,3.365554705317,25.3854142884105,6.1261263367061,11.0034740752294
"PRT",35.4914457157682,27.1063820557497,5.53139091709664,28.3863015433431,13.7141018619135,8.38506366001846,29.9600547986715,7.10514417242509,21.7773438538546
