# HRFsr.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:13:35 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.63952 1 1 0.36048 0 1
 52 0.68992 3 4 0.31008 1 4
 53 0.71434 2 2 0.28566 1 2
 54 0.56056 2 3 0.43944 1 3
 55 0.50435 1 2 0.49565 1 2
 56 0.64602 1 2 0.35398 1 2
 57 0.52298 2 4 0.47702 2 4
 58 0.53390 2 3 0.46610 2 3
 59 0.66248 2 4 0.33752 1 4
 60 0.52821 1 3 0.47179 1 3
 61 0.67006 1 2 0.32994 1 2
 62 0.65140 1 2 0.34860 1 2
 63 0.50218 2 3 0.49782 2 3
 64 0.64197 2 3 0.35803 1 3
 65 0.41135 1 2 0.58865 1 2
 66 0.41966 1 2 0.58034 1 2
 67 0.44977 1 2 0.55023 1 2
 68 0.65701 1 2 0.34299 1 2
 69 0.44676 1 2 0.55324 1 2
 70 0.62420 1 2 0.37580 1 2
 71 0.47922 1 2 0.52078 1 2
 72 0.51404 1 2 0.48596 1 2
 73 0.42432 1 2 0.57568 1 2
 74 0.43137 1 3 0.56863 2 3
 75 0.40849 1 3 0.59151 2 3
 76 0.43328 1 3 0.56672 1 3
 77 0.42431 1 2 0.57569 1 2
 78 0.29812 1 2 0.70188 2 2
 79 0.17964 0 2 0.82036 1 2
 80 0.12707 0 1 0.87293 1 1
 81 0.58638 1 2 0.41362 1 2
 82 0.36633 1 2 0.63367 1 2
 83 0.22135 0 1 0.77865 1 1
 84 0.14051 0 1 0.85949 1 1
 85 0.00000 0 1 1.00000 1 1
 86 0.27347 0 1 0.72653 1 1
 87 0.00000 0 1 1.00000 1 1
 88 0.25269 0 1 0.74731 1 1
 89 0.31892 0 0 0.68108 0 0
 90 0.57021 0 0 0.42979 0 0
 91 0.00000 0 0 1.00000 0 0
 92 NaNq 0 0 NaNq 0 0
