# HRFadl.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 22:03:38 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 1.00000 1 1 0.00000 0 1
 52 0.96434 4 4 0.03566 0 4
 53 0.95344 2 2 0.04656 0 2
 54 0.93074 3 3 0.06926 0 3
 55 0.95049 2 2 0.04951 0 2
 56 0.97682 2 2 0.02318 0 2
 57 0.93852 4 4 0.06148 0 4
 58 0.91717 3 3 0.08283 0 3
 59 0.91349 3 4 0.08651 0 4
 60 0.84920 2 3 0.15080 0 3
 61 0.89986 2 2 0.10014 0 2
 62 0.91777 2 2 0.08223 0 2
 63 0.94715 3 3 0.05285 0 3
 64 0.94982 3 3 0.05018 0 3
 65 0.89105 2 2 0.10895 0 2
 66 0.88928 2 2 0.11072 0 2
 67 0.86315 2 2 0.13685 0 2
 68 0.90976 2 2 0.09024 0 2
 69 0.92195 2 2 0.07805 0 2
 70 0.96642 2 2 0.03358 0 2
 71 0.83105 2 2 0.16895 0 2
 72 0.91110 2 2 0.08890 0 2
 73 0.87244 2 2 0.12756 0 2
 74 0.87864 3 3 0.12136 0 3
 75 0.93173 3 3 0.06827 0 3
 76 0.79756 2 2 0.20244 0 2
 77 0.68609 1 2 0.31391 1 2
 78 0.69759 2 2 0.30241 1 2
 79 0.53437 1 2 0.46563 1 2
 80 0.69168 1 1 0.30832 0 1
 81 0.52705 1 1 0.47295 1 1
 82 0.73120 1 2 0.26880 0 2
 83 0.80682 1 1 0.19318 0 1
 84 0.64978 1 1 0.35022 0 1
 85 0.69273 1 1 0.30727 0 1
 86 0.35930 0 1 0.64070 1 1
 87 0.77613 0 1 0.22387 0 1
 88 0.38706 0 1 0.61294 1 1
 89 0.00000 0 0 1.00000 0 0
 90 1.00000 0 0 0.00000 0 0
 91 1.00000 0 0 0.00000 0 0
 92 NaNq 0 0 NaNq 0 0
