# DKMgali.txt
#IMaCh version 0.99r45, April 2023,INED-EUROREVES-Institut de longevite-Japan Society for the Promotion of Science (Grant-in-Aid for Scientific Research 25293121), Intel Software 2015-2020, Nihon University 2021-202, INED 2000-2022
#$Revision: 1.353 $ $Date: 2023/05/08 18:48:22 $
# Tue Feb 04 20:24:32 2025
 Age Prev(1)  N(1)  N   Prev(2)  N(2)  N  
 51 0.96222 3 3 0.03778 0 3
 52 0.92426 4 4 0.07574 0 4
 53 0.89182 2 2 0.10818 0 2
 54 0.95463 3 3 0.04537 0 3
 55 0.87891 3 3 0.12109 0 3
 56 0.95260 4 4 0.04740 0 4
 57 0.89412 3 3 0.10588 0 3
 58 0.94513 3 3 0.05487 0 3
 59 1.00000 3 3 0.00000 0 3
 60 0.95487 3 3 0.04513 0 3
 61 0.87246 2 3 0.12754 0 3
 62 0.97033 3 3 0.02967 0 3
 63 0.93252 2 3 0.06748 0 3
 64 0.95390 2 2 0.04610 0 2
 65 0.93272 4 4 0.06728 0 4
 66 0.90329 2 3 0.09671 0 3
 67 0.91128 3 4 0.08872 0 4
 68 0.93197 3 3 0.06803 0 3
 69 0.98279 3 3 0.01721 0 3
 70 0.90562 2 2 0.09438 0 2
 71 0.98017 2 3 0.01983 0 3
 72 0.92620 2 2 0.07380 0 2
 73 0.90370 2 3 0.09630 0 3
 74 0.89924 1 2 0.10076 0 2
 75 0.89376 1 2 0.10624 0 2
 76 0.91453 2 2 0.08547 0 2
 77 0.90630 1 1 0.09370 0 1
 78 0.85930 1 2 0.14070 0 2
 79 0.81452 1 1 0.18548 0 1
 80 0.88941 1 1 0.11059 0 1
 81 0.54984 1 1 0.45016 0 1
 82 0.71340 1 1 0.28660 0 1
 83 0.65845 1 1 0.34155 0 1
 84 0.83424 1 1 0.16576 0 1
 85 0.50000 0 0 0.50000 0 0
 86 0.75896 0 1 0.24104 0 1
 87 0.83213 0 0 0.16787 0 0
 88 0.81872 0 0 0.18128 0 0
 89 0.84120 0 0 0.15880 0 0
 90 1.00000 0 0 0.00000 0 0
 91 0.00000 0 0 1.00000 0 0
